Pitch,
Recording:,Izzy C Major Scale Mic Only.m4a
,
,
Time (s),Pitch (Hz)
0.008,256.68
0.018,255.61
0.028,254.19
0.038,252.53
0.048,251.06
0.058,250.07
0.068,249.69
0.078,249.76
0.088,250.24
0.098,250.93
0.108,251.63
0.118,253.20
0.128,254.85
0.138,256.82
0.148,258.05
0.158,258.88
0.168,259.03
0.178,257.97
0.188,255.95
0.198,253.29
0.208,250.02
0.218,246.60
0.228,241.02
0.238,236.81
0.248,234.37
0.258,234.01
0.268,234.95
0.278,236.46
0.288,238.85
0.298,241.64
0.308,244.33
0.318,247.96
0.328,251.73
0.338,254.42
0.348,256.46
0.358,257.62
0.368,257.70
0.378,256.32
0.388,253.51
0.398,250.19
0.408,246.75
0.418,243.73
0.428,242.10
0.438,241.54
0.448,241.43
0.458,242.05
0.468,243.55
0.478,245.88
0.488,249.39
0.498,254.86
0.508,260.08
0.518,264.93
0.528,270.39
0.538,273.09
0.548,274.63
0.558,275.78
0.568,275.49
0.578,273.06
0.588,268.87
0.598,264.06
0.608,260.19
0.618,256.29
0.628,253.28
0.638,251.15
0.648,249.94
0.658,250.18
0.668,251.91
0.678,254.41
0.688,257.35
0.698,260.35
0.708,263.36
0.718,265.46
0.728,266.99
0.738,267.85
0.748,267.59
0.758,266.46
0.768,264.07
0.778,260.65
0.788,256.85
0.798,253.66
0.808,250.96
0.818,249.16
0.828,248.83
0.838,249.56
0.848,251.59
0.858,254.52
0.868,257.52
0.878,262.13
0.888,266.88
0.898,271.48
0.908,275.32
0.918,277.67
0.928,277.89
0.938,276.62
0.948,273.73
0.958,269.93
0.968,266.09
0.978,262.97
0.988,261.07
0.998,260.39
1.008,260.98
1.018,262.67
1.028,265.28
1.038,268.29
1.048,270.82
1.058,273.48
1.068,276.12
1.078,279.08
1.088,282.09
1.098,285.16
1.108,287.81
1.118,289.58
1.128,290.32
1.138,289.86
1.148,288.64
1.158,286.80
1.168,284.63
1.178,282.34
1.188,279.88
1.198,277.32
1.208,274.83
1.218,272.74
1.228,271.59
1.238,271.29
1.248,272.02
1.258,274.06
1.268,278.05
1.278,283.01
1.288,288.21
1.298,294.58
1.308,299.76
1.318,302.27
1.328,302.62
1.338,301.22
1.348,297.82
1.358,292.92
1.368,286.74
1.378,281.90
1.388,278.43
1.398,275.67
1.408,273.97
1.418,273.34
1.428,273.98
1.438,275.68
1.448,278.42
1.458,282.17
1.468,287.34
1.478,293.41
1.488,299.02
1.498,303.76
1.508,306.70
1.518,307.98
1.528,306.91
1.538,303.19
1.548,298.81
1.558,293.94
1.568,287.39
1.578,280.44
1.588,276.37
1.598,273.28
1.608,271.43
1.618,271.13
1.628,272.01
1.638,274.78
1.648,279.21
1.658,285.23
1.668,292.00
1.678,298.56
1.688,303.72
1.698,307.25
1.708,309.02
1.718,308.91
1.728,305.41
1.738,294.95
1.748,287.77
1.758,283.40
1.768,279.96
1.778,277.17
1.788,275.64
1.798,276.05
1.808,277.78
1.818,282.08
1.828,293.86
1.838,297.77
1.848,300.92
1.858,308.81
1.868,319.75
1.878,325.87
1.888,328.01
1.898,327.82
1.908,324.76
1.918,319.71
1.928,312.30
1.938,302.22
1.948,296.16
1.958,292.84
1.968,291.37
1.978,291.44
1.988,293.34
1.998,297.68
2.008,302.50
2.018,307.35
2.028,312.77
2.038,321.40
2.048,330.70
2.058,334.99
2.068,336.11
2.078,333.66
2.088,328.87
2.098,322.85
2.108,315.76
2.118,303.68
2.128,298.13
2.138,295.56
2.148,294.29
2.158,294.61
2.168,296.72
2.178,299.64
2.188,303.25
2.198,307.80
2.208,313.95
2.218,318.80
2.228,324.51
2.238,330.53
2.248,332.59
2.258,331.89
2.268,329.50
2.278,324.55
2.288,321.50
2.298,318.45
2.308,316.15
2.318,313.59
2.328,310.19
2.338,306.14
2.348,302.56
2.358,300.96
2.368,299.96
2.378,300.09
2.388,302.12
2.398,307.53
2.408,315.46
2.418,323.85
2.428,329.30
2.438,334.10
2.448,338.66
2.458,341.19
2.468,341.09
2.478,338.49
2.488,334.85
2.498,330.28
2.508,325.94
2.518,320.78
2.528,315.96
2.538,312.14
2.548,310.46
2.558,309.89
2.568,310.42
2.578,312.88
2.588,317.50
2.598,325.14
2.608,333.61
2.618,340.07
2.628,344.64
2.638,347.49
2.648,349.00
2.658,348.23
2.668,345.41
2.678,340.90
2.688,336.35
2.698,331.17
2.708,324.19
2.718,317.46
2.728,313.63
2.738,312.15
2.748,312.26
2.758,314.40
2.768,318.79
2.778,324.21
2.788,329.99
2.798,336.17
2.808,341.54
2.818,345.72
2.828,348.01
2.838,348.61
2.848,347.35
2.858,343.78
2.868,338.43
2.878,333.07
2.888,327.46
2.898,321.22
2.908,315.09
2.918,312.15
2.928,311.07
2.938,311.54
2.948,314.18
2.958,319.46
2.968,325.70
2.978,333.82
2.988,339.95
2.998,345.39
3.008,348.94
3.018,350.74
3.028,350.47
3.038,346.97
3.048,341.87
3.058,336.21
3.068,331.33
3.078,325.58
3.088,320.87
3.098,318.38
3.108,318.23
3.118,320.98
3.128,325.88
3.138,332.24
3.148,339.01
3.158,345.51
3.168,351.71
3.178,355.85
3.188,357.71
3.198,357.07
3.208,355.07
3.218,351.44
3.228,346.81
3.238,341.72
3.248,336.45
3.258,331.17
3.268,326.17
3.278,322.20
3.288,319.52
3.298,318.50
3.308,319.54
3.318,322.13
3.328,325.30
3.338,330.63
3.348,336.56
3.358,343.57
3.368,349.68
3.378,355.39
3.388,358.05
3.398,358.58
3.408,357.10
3.418,354.79
3.428,350.77
3.438,346.18
3.448,340.21
3.458,333.82
3.468,328.29
3.478,324.53
3.488,322.53
3.498,322.62
3.508,325.01
3.518,328.73
3.528,332.96
3.538,338.35
3.548,345.25
3.558,352.35
3.568,357.82
3.578,361.25
3.588,362.75
3.598,363.04
3.608,361.84
3.618,359.50
3.628,356.91
3.638,352.57
3.648,346.89
3.658,338.12
3.668,325.99
3.678,320.93
3.688,318.93
3.698,317.58
3.708,317.50
3.718,318.55
3.728,322.87
3.738,328.92
3.748,334.53
3.758,341.06
3.768,354.15
3.778,360.87
3.788,365.35
3.798,367.48
3.808,367.86
3.818,366.37
3.828,363.05
3.838,357.93
3.848,351.68
3.858,344.89
3.868,337.81
3.878,333.34
3.888,330.60
3.898,329.73
3.908,330.72
3.918,332.88
3.928,336.47
3.938,340.77
3.948,347.03
3.958,352.97
3.968,358.09
3.978,362.35
3.988,365.38
3.998,366.62
4.008,365.93
4.018,363.72
4.028,360.63
4.038,356.41
4.048,350.92
4.058,345.23
4.068,339.62
4.078,336.20
4.088,333.92
4.098,333.13
4.108,333.86
4.118,335.98
4.128,339.01
4.138,344.20
4.148,351.28
4.158,359.86
4.168,365.66
4.178,370.88
4.188,374.30
4.198,375.59
4.208,375.06
4.218,372.82
4.228,369.25
4.238,364.73
4.248,358.57
4.258,352.73
4.268,350.23
4.278,350.25
4.288,352.61
4.298,357.17
4.308,363.68
4.318,370.95
4.328,378.71
4.338,386.70
4.348,393.51
4.358,398.24
4.368,400.16
4.378,399.60
4.388,397.27
4.398,393.01
4.408,386.71
4.418,380.80
4.428,375.48
4.438,371.61
4.448,368.88
4.458,368.03
4.468,368.93
4.478,371.79
4.488,376.00
4.498,381.70
4.508,389.45
4.518,397.52
4.528,404.58
4.538,409.56
4.548,411.70
4.558,411.62
4.568,409.68
4.578,405.64
4.588,400.33
4.598,393.86
4.608,386.45
4.618,379.08
4.628,373.63
4.638,369.38
4.648,366.52
4.658,365.14
4.668,365.58
4.678,368.52
4.688,373.20
4.698,379.98
4.708,390.55
4.718,400.92
4.728,407.37
4.738,410.85
4.748,412.29
4.758,411.75
4.768,408.93
4.778,403.66
4.788,397.53
4.798,390.73
4.808,384.71
4.818,379.81
4.828,376.28
4.838,373.86
4.848,372.46
4.858,372.21
4.868,373.35
4.878,375.56
4.888,378.41
4.898,382.36
4.908,387.23
4.918,393.25
4.928,398.52
4.938,402.59
4.948,404.67
4.958,405.29
4.968,404.77
4.978,403.32
4.988,401.14
4.998,398.23
5.008,394.31
5.018,388.59
5.028,383.34
5.038,378.55
5.048,375.41
5.058,372.97
5.068,372.42
5.078,373.47
5.088,375.78
5.098,380.29
5.108,387.47
5.118,396.69
5.128,403.39
5.138,408.06
5.148,411.23
5.158,413.01
5.168,413.05
5.178,411.11
5.188,407.32
5.198,402.14
5.208,396.30
5.218,388.70
5.228,382.72
5.238,378.62
5.248,376.28
5.258,375.40
5.268,376.09
5.278,378.41
5.288,382.66
5.298,389.52
5.308,397.19
5.318,403.81
5.328,408.59
5.338,411.45
5.348,412.65
5.358,412.27
5.368,410.17
5.378,407.13
5.388,403.47
5.398,398.64
5.408,392.26
5.418,385.71
5.428,380.97
5.438,378.02
5.448,376.89
5.458,377.25
5.468,378.73
5.478,381.85
5.488,387.44
5.498,396.17
5.508,405.07
5.518,412.36
5.528,417.24
5.538,420.57
5.548,422.52
5.558,423.14
5.568,422.37
5.578,420.70
5.588,417.70
5.598,413.35
5.608,408.94
5.618,406.18
5.628,405.02
5.638,405.59
5.648,408.14
5.658,412.29
5.668,418.10
5.678,425.14
5.688,432.63
5.698,439.37
5.708,444.79
5.718,447.90
5.728,448.92
5.738,447.48
5.748,443.75
5.758,439.21
5.768,433.41
5.778,427.72
5.788,421.69
5.798,417.15
5.808,414.81
5.818,414.52
5.828,416.02
5.838,419.42
5.848,425.34
5.858,432.39
5.868,440.72
5.878,447.43
5.888,453.57
5.898,457.35
5.908,459.38
5.918,459.36
5.928,457.77
5.938,454.44
5.948,449.81
5.958,444.76
5.968,438.09
5.978,431.25
5.988,423.99
5.998,419.09
6.008,416.08
6.018,415.18
6.028,416.41
6.038,419.40
6.048,424.64
6.058,432.72
6.068,440.59
6.078,448.15
6.088,453.84
6.098,457.72
6.108,459.15
6.118,458.43
6.128,455.62
6.138,451.55
6.148,446.63
6.158,439.72
6.168,432.94
6.178,426.05
6.188,421.32
6.198,418.71
6.208,418.15
6.218,419.45
6.228,422.19
6.238,426.53
6.248,432.13
6.258,437.96
6.268,443.62
6.278,448.18
6.288,452.28
6.298,454.31
6.308,455.09
6.318,454.45
6.328,452.10
6.338,448.72
6.348,443.98
6.358,439.38
6.368,433.91
6.378,429.06
6.388,425.17
6.398,422.90
6.408,422.02
6.418,422.38
6.428,424.30
6.438,427.53
6.448,432.25
6.458,439.06
6.468,446.30
6.478,453.88
6.488,459.46
6.498,462.79
6.508,463.50
6.518,462.14
6.528,459.42
6.538,455.71
6.548,451.07
6.558,445.59
6.568,439.47
6.578,434.58
6.588,430.80
6.598,429.30
6.608,429.43
6.618,431.56
6.628,436.39
6.638,442.46
6.648,450.76
6.658,458.99
6.668,466.90
6.678,473.68
6.688,478.93
6.698,481.51
6.708,482.23
6.718,480.72
6.728,477.05
6.738,472.05
6.748,466.98
6.758,461.53
6.768,457.27
6.778,455.25
6.788,454.99
6.798,456.67
6.808,460.34
6.818,466.52
6.828,473.26
6.838,480.56
6.848,486.57
6.858,491.94
6.868,497.03
6.878,501.18
6.888,503.46
6.898,503.43
6.908,500.71
6.918,496.09
6.928,490.28
6.938,483.91
6.948,478.28
6.958,473.14
6.968,469.34
6.978,467.17
6.988,466.75
6.998,468.06
7.008,471.70
7.018,476.93
7.028,483.28
7.038,490.04
7.048,496.92
7.058,504.78
7.068,512.32
7.078,516.50
7.088,516.51
7.098,513.97
7.108,509.35
7.118,504.08
7.128,497.79
7.138,490.89
7.148,484.02
7.158,478.20
7.168,473.50
7.178,469.90
7.188,468.10
7.198,468.17
7.208,470.47
7.218,474.66
7.228,480.21
7.238,486.93
7.248,495.86
7.258,504.69
7.268,512.58
7.278,518.07
7.288,520.97
7.298,521.12
7.308,519.00
7.318,514.70
7.328,508.44
7.338,500.83
7.348,493.24
7.358,486.65
7.368,481.18
7.378,477.58
7.388,475.91
7.398,475.95
7.408,477.66
7.418,480.99
7.428,485.71
7.438,491.85
7.448,498.74
7.458,505.74
7.468,511.87
7.478,515.88
7.488,517.77
7.498,517.18
7.508,514.69
7.518,510.38
7.528,504.71
7.538,498.15
7.548,491.14
7.558,484.82
7.568,480.16
7.578,477.12
7.588,475.50
7.598,475.08
7.608,476.26
7.618,479.20
7.628,483.34
7.638,488.32
7.648,494.08
7.658,500.45
7.668,507.01
7.678,513.03
7.688,517.77
7.698,519.98
7.708,519.31
7.718,516.64
7.728,512.01
7.738,506.18
7.748,499.98
7.758,493.96
7.768,488.68
7.778,484.92
7.788,483.03
7.798,482.83
7.808,484.50
7.818,487.86
7.828,493.05
7.838,499.94
7.848,508.40
7.858,516.91
7.868,524.79
7.878,530.19
7.888,532.16
7.898,530.33
7.908,525.99
7.918,519.23
7.928,511.96
7.938,505.56
7.948,501.03
7.958,498.17
7.968,497.29
7.978,498.15
7.988,500.60
7.998,504.30
8.008,508.80
8.018,514.24
8.028,520.34
8.038,526.87
8.048,531.88
8.058,535.33
8.068,537.05
8.078,536.93
8.088,535.02
8.098,531.48
8.108,526.13
8.118,520.18
8.128,514.58
8.138,509.72
8.148,505.95
8.158,503.39
8.168,501.71
8.178,501.20
8.188,502.08
8.198,504.52
8.208,508.54
8.218,514.97
8.228,524.02
8.238,534.79
8.248,544.58
8.258,551.88
8.268,555.64
8.278,556.16
8.288,553.49
8.298,547.82
8.308,539.98
8.318,529.46
8.328,519.72
8.338,511.25
8.348,505.47
8.358,501.58
8.368,499.69
8.378,499.64
8.388,501.60
8.398,505.45
8.408,511.39
8.418,519.35
8.428,529.86
8.438,539.36
8.448,546.46
8.458,550.30
8.468,550.46
8.478,547.28
8.488,540.62
8.498,532.89
8.508,524.86
8.518,517.93
8.528,512.83
8.538,509.74
8.548,508.66
8.558,509.60
8.568,512.92
8.578,519.11
8.588,528.64
8.598,538.50
8.608,546.47
8.618,550.77
8.628,550.68
8.638,548.30
8.648,543.57
8.658,536.94
8.668,529.73
8.678,523.14
8.688,518.95
8.698,517.65
8.708,519.82
8.718,525.56
8.728,536.14
8.738,550.40
8.748,563.62
8.758,572.23
8.768,580.87
8.778,583.73
8.788,565.55
8.798,542.24
8.808,568.12
8.818,570.39
8.828,533.63
8.838,499.46
8.848,499.73
8.858,
8.868,919.31
8.878,916.16
8.888,933.26
8.898,933.71
8.908,
8.918,933.61
8.928,910.09
8.938,
8.948,945.28
8.958,993.65
8.968,943.93
8.978,
8.988,518.51
8.998,536.43
9.008,540.34
9.018,539.55
9.028,539.38
9.038,538.78
9.048,537.22
9.058,535.51
9.068,533.08
9.078,529.62
9.088,525.95
9.098,523.12
9.108,521.56
9.118,521.59
9.128,522.44
9.138,523.27
9.148,523.37
9.158,522.58
9.168,521.04
9.178,518.96
9.188,516.29
9.198,513.59
9.208,511.79
9.218,510.74
9.228,510.14
9.238,509.76
9.248,508.91
9.258,508.04
9.268,507.55
9.278,507.04
9.288,507.30
9.298,508.06
9.308,509.32
9.318,510.85
9.328,512.16
9.338,513.38
9.348,514.74
9.358,516.65
9.368,519.44
9.378,522.77
9.388,525.77
9.398,527.49
9.408,527.75
9.418,526.43
9.428,523.82
9.438,520.54
9.448,516.62
9.458,512.95
9.468,509.73
9.478,507.65
9.488,507.20
9.498,508.54
9.508,511.77
9.518,516.77
9.528,522.85
9.538,529.93
9.548,537.95
9.558,544.16
9.568,547.92
9.578,549.27
9.588,547.87
9.598,543.97
9.608,537.47
9.618,529.29
9.628,521.65
9.638,514.01
9.648,507.79
9.658,503.60
9.668,501.77
9.678,502.62
9.688,506.26
9.698,511.88
9.708,518.54
9.718,525.75
9.728,532.94
9.738,539.81
9.748,544.54
9.758,546.59
9.768,545.82
9.778,542.42
9.788,537.33
9.798,531.38
9.808,524.83
9.818,518.30
9.828,512.05
9.838,507.08
9.848,504.55
9.858,504.25
9.868,506.10
9.878,510.17
9.888,516.07
9.898,522.61
9.908,530.27
9.918,537.62
9.928,544.57
9.938,548.99
9.948,550.12
9.958,548.49
9.968,544.68
9.978,539.02
9.988,531.99
9.998,523.73
10.008,515.65
10.018,508.14
10.028,502.28
10.038,498.79
10.048,497.39
10.058,497.63
10.068,498.63
10.078,499.76
10.088,500.35
10.098,499.94
10.108,498.61
10.118,496.27
10.128,493.28
10.138,490.30
10.148,487.77
10.158,485.59
10.168,484.50
10.178,484.69
10.188,486.12
10.198,488.63
10.208,491.87
10.218,495.52
10.228,499.10
10.238,502.12
10.248,504.67
10.258,506.25
10.268,506.92
10.278,506.37
10.288,504.58
10.298,501.68
10.308,498.15
10.318,494.09
10.328,490.27
10.338,487.07
10.348,485.04
10.358,484.22
10.368,485.11
10.378,487.71
10.388,491.63
10.398,496.47
10.408,502.05
10.418,508.14
10.428,514.51
10.438,519.69
10.448,523.24
10.458,523.84
10.468,521.72
10.478,517.18
10.488,510.68
10.498,503.29
10.508,496.19
10.518,489.59
10.528,483.52
10.538,479.22
10.548,476.80
10.558,476.26
10.568,478.06
10.578,481.78
10.588,486.71
10.598,492.75
10.608,499.06
10.618,504.97
10.628,510.37
10.638,514.44
10.648,516.82
10.658,517.02
10.668,515.52
10.678,512.47
10.688,508.03
10.698,502.94
10.708,497.57
10.718,492.51
10.728,488.29
10.738,485.41
10.748,483.80
10.758,483.25
10.768,483.66
10.778,484.97
10.788,487.30
10.798,490.62
10.808,495.11
10.818,500.25
10.828,505.18
10.838,509.81
10.848,513.15
10.858,515.05
10.868,515.22
10.878,513.83
10.888,510.86
10.898,506.82
10.908,501.97
10.918,496.61
10.928,491.26
10.938,486.74
10.948,483.05
10.958,480.77
10.968,479.91
10.978,480.82
10.988,483.56
10.998,487.89
11.008,493.60
11.018,500.14
11.028,506.93
11.038,513.33
11.048,517.98
11.058,519.99
11.068,518.98
11.078,515.56
11.088,510.29
11.098,504.09
11.108,498.15
11.118,493.13
11.128,488.55
11.138,484.54
11.148,481.43
11.158,479.21
11.168,477.99
11.178,477.38
11.188,477.26
11.198,477.47
11.208,477.51
11.218,476.90
11.228,475.39
11.238,472.53
11.248,468.16
11.258,462.19
11.268,456.13
11.278,450.62
11.288,444.80
11.298,439.83
11.308,436.89
11.318,436.52
11.328,437.87
11.338,440.22
11.348,442.73
11.358,445.36
11.368,446.90
11.378,447.34
11.388,446.63
11.398,444.88
11.408,442.88
11.418,440.21
11.428,437.13
11.438,434.07
11.448,430.83
11.458,428.67
11.468,427.96
11.478,428.58
11.488,429.96
11.498,432.69
11.508,436.56
11.518,441.48
11.528,445.95
11.538,450.21
11.548,453.14
11.558,454.93
11.568,455.36
11.578,454.26
11.588,452.03
11.598,448.55
11.608,444.66
11.618,439.48
11.628,434.18
11.638,429.74
11.648,427.00
11.658,425.66
11.668,426.12
11.678,428.33
11.688,432.02
11.698,436.77
11.708,442.28
11.718,448.24
11.728,453.28
11.738,456.74
11.748,458.56
11.758,458.87
11.768,457.58
11.778,455.07
11.788,450.99
11.798,446.31
11.808,440.70
11.818,435.13
11.828,429.82
11.838,426.30
11.848,424.33
11.858,423.81
11.868,424.67
11.878,427.26
11.888,431.34
11.898,437.20
11.908,444.10
11.918,449.26
11.928,452.74
11.938,454.77
11.948,455.02
11.958,453.89
11.968,451.46
11.978,448.59
11.988,444.63
11.998,440.89
12.008,436.52
12.018,432.96
12.028,430.20
12.038,428.58
12.048,428.19
12.058,429.07
12.068,431.25
12.078,434.17
12.088,437.95
12.098,441.44
12.108,444.47
12.118,445.72
12.128,445.74
12.138,444.60
12.148,442.44
12.158,439.49
12.168,435.57
12.178,431.09
12.188,425.93
12.198,420.94
12.208,416.58
12.218,412.61
12.228,409.72
12.238,407.92
12.248,407.20
12.258,407.23
12.268,407.39
12.278,407.34
12.288,406.85
12.298,405.54
12.308,403.63
12.318,400.90
12.328,397.59
12.338,394.16
12.348,390.79
12.358,388.36
12.368,387.14
12.378,387.11
12.388,388.00
12.398,389.72
12.408,392.08
12.418,394.58
12.428,396.69
12.438,398.07
12.448,398.71
12.458,398.59
12.468,398.11
12.478,397.27
12.488,395.92
12.498,393.87
12.508,391.35
12.518,388.51
12.528,385.49
12.538,382.56
12.548,380.46
12.558,379.34
12.568,379.30
12.578,380.13
12.588,382.57
12.598,386.71
12.608,392.17
12.618,397.67
12.628,404.69
12.638,411.25
12.648,416.79
12.658,420.43
12.668,421.91
12.678,421.35
12.688,419.20
12.698,415.30
12.708,410.22
12.718,404.00
12.728,397.92
12.738,392.84
12.748,388.72
12.758,386.12
12.768,385.05
12.778,385.60
12.788,387.37
12.798,390.33
12.808,394.30
12.818,398.52
12.828,402.44
12.838,404.98
12.848,406.11
12.858,406.11
