Time,Pitch,CQ
0.008,B3,0.33
0.408,C4,0.32
0.808,C4,0.3
1.208,D4,0.35
1.608,D4,0.29
2.008,E4,0.31
2.408,E4,0.27
2.808,E4,0.29
3.208,E4,0.29
3.608,F4,0.28
4.008,F4,0.28
4.408,G4,0.29
4.808,G4,0.31
5.208,G4,0.32
5.608,A4,0.31
6.008,A4,0.34
6.408,A4,0.38
6.808,B4,0.38
7.208,B4,0.39
7.608,B4,0.41
8.008,C5,0.38
8.408,C5,0.37
8.808,C5,0.37
9.208,C5,0.37
9.608,C5,0.37
10.008,B4,0.37
10.408,B4,0.33
10.808,B4,0.33
11.208,A4,0.2
11.608,A4,0.06
12.408,G4,0.32
12.808,G4,0.3
13.608,F4,0.29
14.008,F4,0.33
14.408,E4,0.3
14.808,E4,0.31
15.608,D4,0.32
16.408,D4,0.31
16.808,C4,0.31
17.208,C4,0.38
0.008,B3,0.33
0.408,C4,0.32
0.808,C4,0.3
1.208,D4,0.35
1.608,D4,0.29
2.008,E4,0.31
2.408,E4,0.27
2.808,E4,0.29
3.208,E4,0.29
3.608,F4,0.28
4.008,F4,0.28
4.408,G4,0.29
4.808,G4,0.31
5.208,G4,0.32
5.608,A4,0.31
6.008,A4,0.34
6.408,A4,0.38
6.808,B4,0.38
7.208,B4,0.39
7.608,B4,0.41
8.008,C5,0.38
8.408,C5,0.37
8.808,C5,0.37
9.208,C5,0.37
9.608,C5,0.37
10.008,B4,0.37
10.408,B4,0.33
10.808,B4,0.33
11.208,A4,0.2
11.608,A4,0.06
12.408,G4,0.32
12.808,G4,0.3
13.608,F4,0.29
14.008,F4,0.33
14.408,E4,0.3
14.808,E4,0.31
15.608,D4,0.32
16.408,D4,0.31
16.808,C4,0.31
17.208,C4,0.38
